requests,owsm_avg_time_ms,opa_avg_time_ms
10,11.060,0.613
20,22.439,1.110
30,34.524,1.651
40,44.660,2.152
50,55.526,2.749
60,68.241,4.433
70,78.133,3.823
80,87.433,4.324
90,97.780,4.789
100,108.035,5.231
