requests,owsm_avg_time_ms,opa_avg_time_ms
10,10.571,0.616
20,21.657,1.117
30,33.368,1.662
40,43.172,2.168
50,53.861,2.686
60,64.067,4.295
70,76.513,3.828
80,84.925,4.309
90,95.403,4.985
100,105.494,5.469
