requests,owsm_avg_time_ms,opa_avg_time_ms
10,13.575,0.604
20,27.881,1.195
30,42.290,1.659
40,55.410,2.273
50,68.759,2.748
60,82.549,3.936
70,96.606,3.763
80,108.136,4.407
90,121.866,4.885
100,134.430,5.426
