requests,owsm_avg_time_ms,opa_avg_time_ms
10,3.223,0.593
20,4.755,1.120
30,6.601,1.676
40,8.119,2.190
50,9.517,2.730
60,11.208,4.616
70,12.145,3.998
80,16.573,4.346
90,15.420,4.887
100,17.041,5.467
