requests,owsm_avg_time_ms,opa_avg_time_ms
10,3.296,0.615
20,4.667,1.119
30,6.545,1.636
40,8.765,2.180
50,9.483,2.691
60,11.106,4.212
70,12.316,3.751
80,15.541,4.397
90,18.236,4.878
100,17.218,5.451
