requests,owsm_avg_time_ms,opa_avg_time_ms
10,4.001,0.613
20,6.112,1.168
30,8.513,1.681
40,10.995,2.292
50,12.347,2.854
60,14.371,5.638
70,17.678,3.875
80,20.177,4.516
90,19.766,4.882
100,21.892,5.679
