requests,owsm_avg_time_ms,opa_avg_time_ms
100,1.262,0.205
200,1.211,0.197
400,1.209,0.194
800,1.203,0.193
1600,1.193,0.191
3200,1.214,0.192
6400,1.213,0.193
12800,1.207,0.192
25600,1.212,0.194
51200,1.222,0.193
