requests,owsm_avg_time_ms,opa_avg_time_ms
100,1.232,0.212
200,1.192,0.198
400,1.194,0.203
800,1.183,0.190
1600,1.189,0.191
3200,1.192,0.191
6400,1.194,0.191
12800,1.200,0.192
25600,1.204,0.192
51200,1.208,0.192
